SEGMENTO_ID,MUEBLE_ID,PLANOGRUPO,PLAN_EJECUCION,CONJUNTO_ID,TAMAÑO_POST,DIRECCION_LEGO_ID,ITEM,ITEM_DESC,CHAROLA,UBICACION_BANDEJA,NUM_FRENTES,ALTO,ANCHO,Width,Height,X,Y,DISE�O_REFERENCIA,SEPARADOR,SQUEEZE,stage_id,execution_date,Type,Desc1,unidades_x_frente,PROFUNDO,categoria_producto,LEGO_ID,Camas
BCO,CF,Refrescos,opt_x_lego,10MON,4,DI,2170,Agua Mineral 355 ml botella,23,8,1,25,6.5,55,2.5,165,147,10MON_BCO_Refrescos-CF_(4)DI,0,1,20250505221244100,20250505,,,1,6.5,,,1
BCO,CF,Refrescos,opt_x_lego,10MON,4,ID,2170,Agua Mineral 355 ml botella,5,8,1,25,6.5,55,2.5,0,147,10MON_BCO_Refrescos-CF_(4)ID,0,1,20250505221244100,20250505,,,1,6.5,,,1
